"","Sample","Station","Depth","year","Latitude","Longitude","PelagicLayer","PO4","NO2","NO3","NH4","Chl","Si","Salinity","WaterMass"
"1","M16_HG-IV_B","HG-IV",50,2016,79.07,4.18,"Epipelagic",0.843,0.094,11.944,0.124,0.281,4.501,35.12,"AW"
"2","M16_HG-IV_M","HG-IV",43,2016,79.07,4.18,"Epipelagic",0.843,0.094,11.944,0.124,0.281,4.501,35.12,"AW"
"3","M16_KB0_B","KB0",320,2016,79.05,11.14,"Mesopelagic",0.87,0.45,10.7,0.28,NA,6.28,34.938,"TAW"
"4","M16_KB0_S","KB0",5,2016,79.05,11.14,"Epipelagic",0.09,0.06,0,0.43,1.34,0.91,33.118,"SW"
"5","M16_KB3_B","KB3",332,2016,78.95,11.96,"Mesopelagic",0.92,0.55,10.62,0.75,NA,8.12,34.943,"TAW"
"6","M16_KB3_M","KB3",50,2016,78.95,11.96,"Epipelagic",0.24,0.07,0.99,1.74,0.17,1.58,34.786,"AW"
"7","M16_KB3_S","KB3",5,2016,78.95,11.96,"Epipelagic",0.13,0.07,0.71,1.48,0.82,1.72,31.744,"SW"
"8","M16_KB6_B","KB6",50,2016,78.93,12.39,"Epipelagic",0.34,0.15,1.45,2.2,0.06,1.51,34.789,"AW"
"9","M16_KB6_M","KB6",25,2016,78.93,12.39,"Epipelagic",0.18,0.15,1.49,2.76,0.11,1.49,33.404,"SW"
"10","M16_KB6_S","KB6",2,2016,78.93,12.39,"Epipelagic",0.06,0.06,0,1.53,0.82,2.81,28.075,"SW"
"11","M16_V12_B","V12",200,2016,78.98,9.51,"Mesopelagic",0.71,0.51,9.12,1.01,NA,3.51,34.959,"TAW"
"12","M17_HG-IV_1000m","HG-IV",1000,2017,79.07,4.18,"Bathypelagic",0.86,0.12,12.25,0.33,NA,6.66,34.918,"Unknown"
"13","M17_HG-IV_200m","HG-IV",200,2017,79.07,4.18,"Mesopelagic",0.76,0.1,12.05,0.25,NA,4.83,35.041,"AW"
"14","M17_HG-IV_25m","HG-IV",25,2017,79.07,4.18,"Epipelagic",0.2,0.1,1.93,0.44,1.349,1.62,34.996,"AW"
"15","M17_HG-IV_50m","HG-IV",50,2017,79.07,4.18,"Epipelagic",0.59,0.37,8.43,0.73,0.635,4.1,35.1,"AW"
"16","M17_KB0_B","KB0",300,2017,79.05,11.14,"Mesopelagic",0.66,0.56,6.53,1.99,NA,4.89,35.033,"TAW"
"17","M17_KB0_M","KB0",50,2017,79.05,11.14,"Epipelagic",0.2,0.13,0.99,1.27,0.442,1.12,34.827,"AW"
"18","M17_KB3_B","KB3",300,2017,78.95,11.96,"Mesopelagic",0.72,0.55,7.42,1.95,NA,6.11,35.038,"TAW"
"19","M17_KB3_M","KB3",50,2017,78.95,11.96,"Epipelagic",0.36,0.18,2.26,2.15,0.143,2.24,34.82,"AW"
"20","M17_KB3_S","KB3",10,2017,78.95,11.96,"Epipelagic",0.11,0,0.39,0.65,1.033,0.9,33.428,"SW"
"21","M17_KB6_B","KB6",46,2017,78.93,12.39,"Epipelagic",NA,NA,NA,NA,NA,NA,NA,"Unknown"
"22","M17_KB6_M","KB6",25,2017,78.93,12.39,"Epipelagic",NA,NA,NA,NA,NA,NA,NA,"Unknown"
"23","M17_KB6_S","KB6",1,2017,78.93,12.39,"Epipelagic",NA,NA,NA,NA,NA,NA,NA,"Unknown"
"24","M17_V12_25m","V12",25,2017,78.98,9.51,"Epipelagic",0.1,0,0.85,0.37,2.276,0.25,34.882,"AW"
"25","M17_V12_B","V12",200,2017,78.98,9.51,"Mesopelagic",0.74,0.31,10.9,1.64,NA,4.06,35.034,"AW"
"26","M17_V12_M","V12",50,2017,78.98,9.51,"Epipelagic",0.3,0.11,2.88,1.62,0.118,1.43,35.015,"AW"
"27","M17_V6_1000M","V6",1000,2017,78.91,7.77,"Bathypelagic",NA,NA,NA,0.24,NA,NA,34.919,"WCW"
"28","M17_V6_B","V6",200,2017,78.91,7.77,"Mesopelagic",NA,NA,NA,0.28,NA,NA,35.105,"AW"
"29","M17_V6_M","V6",50,2017,78.91,7.77,"Epipelagic",NA,NA,NA,0.5,0.363,NA,35.068,"AW"
"30","M19_1","KB3",5,2019,78.95,11.96,"Epipelagic",0.21,0.15,1.3,NA,0.061,3.1,32.27,"SW"
"31","M19_101","HG-I",25,2019,79.13,6.09,"Epipelagic",0.14,0,0.1,NA,0.935,2.5,34.947,"AW"
"32","M19_103","HG-I",1220,2019,79.13,6.09,"Bathypelagic",0.99,0,15.8,NA,NA,13.3,34.919,"WCW"
"33","M19_105","HG-IV",5,2019,79.07,4.18,"Epipelagic",0.13,0,0,NA,0.298,3,33.722,"Unknown"
"34","M19_106","HG-IV",18,2019,79.07,4.18,"Epipelagic",0.15,0,0.1,NA,0.289,3.1,33.812,"Unknown"
"35","M19_108","HG-IV",2300,2019,79.07,4.18,"Bathypelagic",0.96,0,15.2,NA,NA,12.1,34.932,"WCW"
"36","M19_11","KB7",1,2019,78.97,12.38,"Epipelagic",0.21,0.18,1,NA,0.462,3.5,32.279,"SW"
"37","M19_14","KB7",5,2019,78.97,12.38,"Epipelagic",0.22,0.18,0.9,NA,0.019,3.4,32.783,"SW"
"38","M19_17","KB7",61,2019,78.97,12.38,"Epipelagic",0.34,0.25,1.9,NA,NA,4.1,34.896,"AW"
"39","M19_20","KB6",1,2019,78.93,12.39,"Epipelagic",0.19,0.14,1.1,NA,0.453,3.7,31.93,"SW"
"40","M19_24","KB6",7,2019,78.93,12.39,"Epipelagic",0.2,0.17,1.2,NA,0.142,3.7,32.068,"SW"
"41","M19_28","KB6",50,2019,78.93,12.39,"Epipelagic",0.3,0.25,1.4,NA,0.002,3.7,34.861,"AW"
"42","M19_33","KB5",1,2019,78.9,12.44,"Epipelagic",0.34,0.17,0.8,NA,0.043,3.1,31.808,"SW"
